City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Malaga,Fiat Panda,4,Shuttle,Opodo,66.0,17.0,9.8
Malaga,Fiat Panda,4,Shuttle,Argus Car Hire,71.0,18.0,9.8
Malaga,Fiat Panda,4,Shuttle,Holiday Autos,89.0,23.0,9.8
Malaga,Fiat Panda,4,Shuttle,easyCar,99.0,25.0,8.0
Malaga,Seat Ibiza,5,Shuttle,Opodo,67.0,17.0,9.8
Malaga,Seat Ibiza,5,Shuttle,Argus Car Hire,74.0,19.0,9.8
Malaga,Seat Ibiza,5,Shuttle,Holiday Autos,95.0,24.0,9.8
Malaga,Seat Ibiza,5,Shuttle,easyCar,103.0,26.0,8.0
Malaga,Nissan Micra,5,Shuttle,Rentalcars,46.0,12.0,8.2
Malaga,Nissan Micra,5,Shuttle,KAYAK,46.0,12.0,8.2
Malaga,Nissan Micra,5,Shuttle,Opodo,93.0,24.0,9.8
Malaga,Nissan Micra,5,Shuttle,Argus Car Hire,99.0,25.0,9.8
Malaga,Nissan Micra,5,Shuttle,Holiday Autos,139.0,35.0,9.8
Malaga,Nissan Micra,5,Shuttle,easyCar,170.0,43.0,8.0
Malaga,Ford Ka,4,Shuttle,Rentalcars,46.0,12.0,8.2
Malaga,Ford Ka,4,Shuttle,KAYAK,46.0,12.0,8.2
Malaga,Ford Ka,4,Shuttle,Opodo,92.0,23.0,9.8
Malaga,Ford Ka,4,Shuttle,Argus Car Hire,99.0,25.0,9.8
Malaga,Ford Ka,4,Shuttle,Holiday Autos,137.0,35.0,9.8
Malaga,Ford Ka,4,Shuttle,easyCar,167.0,42.0,8.0
Malaga,Fiat 500L,5,Shuttle,Opodo,78.0,20.0,9.8
Malaga,Fiat 500L,5,Shuttle,Argus Car Hire,80.0,20.0,9.8
Malaga,Fiat 500L,5,Shuttle,Holiday Autos,114.0,29.0,9.8
Malaga,Fiat 500L,5,Shuttle,easyCar,127.0,32.0,8.0
Malaga,Opel Corsa,5,Airport terminal,Opodo,81.0,21.0,9.8
Malaga,Opel Corsa,5,Airport terminal,Argus Car Hire,86.0,22.0,9.8
Malaga,Opel Corsa,5,Airport terminal,Holiday Autos,132.0,33.0,9.8
Malaga,Opel Corsa,5,Airport terminal,easyCar,132.0,33.0,8.0
Malaga,Fiat 500,4,Airport terminal,Opodo,75.0,19.0,9.8
Malaga,Fiat 500,4,Airport terminal,Argus Car Hire,82.0,21.0,9.8
