City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",EconomyBookings,82,21,8.2
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",Sixt,83,21,8.5
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",Bsp Auto,86,22,9.0
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",Rentalcars,107,27,7.8
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",Booking.com,107,27,7.8
Dublin,Ford Ka,4,"Q-park, Marlborough Street, Dublin",KAYAK,107,27,7.8
Dublin,Volkswagen Polo,4,DUB,Enjoy Travel,82,21,4.8
Dublin,Volkswagen Polo,4,DUB,EconomyBookings,84,21,8.2
Dublin,Volkswagen Polo,4,DUB,QEEQ.COM,84,21,9.8
Dublin,Volkswagen Polo,4,DUB,HolidayCars.com,84,21,7.8
Dublin,Volkswagen Polo,4,DUB,Discover Cars,87,22,9.0
Dublin,Volkswagen Polo,4,DUB,Opodo,94,24,9.2
Dublin,Volkswagen Polo,4,DUB,Rentalcars,97,25,7.8
Dublin,Volkswagen Polo,4,DUB,Booking.com,97,25,7.8
Dublin,Volkswagen Polo,4,DUB,KAYAK,97,25,7.8
Dublin,Volkswagen Polo,4,DUB,Argus Car Hire,127,32,9.2
Dublin,Volkswagen Polo,4,DUB,Holiday Autos,222,56,9.2
Dublin,Volkswagen Polo,4,DUB,easyCar,222,56,8.2
Dublin,Volkswagen Polo,4,DUB,QEEQ.COM,84,21,9.8
Dublin,Volkswagen Polo,4,DUB,EconomyBookings,90,23,6.0
Dublin,Volkswagen Polo,4,DUB,Opodo,94,24,9.2
Dublin,Volkswagen Polo,4,DUB,Rentalcars,96,24,7.8
Dublin,Volkswagen Polo,4,DUB,Booking.com,96,24,7.8
Dublin,Volkswagen Polo,4,DUB,KAYAK,96,24,7.8
Dublin,Volkswagen Polo,4,DUB,Argus Car Hire,127,32,9.2
Dublin,Volkswagen Polo,4,DUB,Holiday Autos,222,56,9.2
Dublin,Volkswagen Polo,4,DUB,easyCar,222,56,8.2
Dublin,Ford Fiesta,4,DUB,QEEQ.COM,88,22,9.8
Dublin,Ford Fiesta,4,DUB,Rentalcars,94,24,7.8
Dublin,Ford Fiesta,4,DUB,Booking.com,94,24,7.8
Dublin,Ford Fiesta,4,DUB,Opodo,94,24,9.2
Dublin,Ford Fiesta,4,DUB,KAYAK,94,24,7.8
Dublin,Ford Fiesta,4,DUB,Argus Car Hire,127,32,9.2
Dublin,Ford Fiesta,4,DUB,Holiday Autos,223,56,9.2
Dublin,Ford Fiesta,4,DUB,easyCar,223,56,8.2
Dublin,Volkswagen Polo,5,DUB,EconomyBookings,91,23,8.2
Dublin,Volkswagen Polo,5,DUB,Bsp Auto,92,23,9.0
Dublin,Volkswagen Polo,5,DUB,Sixt,93,24,8.5
Dublin,Volkswagen Polo,5,DUB,Discover Cars,93,24,9.0
Dublin,Volkswagen Polo,5,DUB,QEEQ.COM,101,26,9.8
Dublin,Volkswagen Polo,5,DUB,Opodo,107,27,9.2
Dublin,Volkswagen Polo,5,DUB,Rentalcars,113,29,7.8
Dublin,Volkswagen Polo,5,DUB,Booking.com,113,29,7.8
Dublin,Volkswagen Polo,5,DUB,KAYAK,113,29,7.8
Dublin,Volkswagen Polo,5,DUB,Argus Car Hire,152,38,9.2
Dublin,Volkswagen Polo,5,DUB,Holiday Autos,266,67,9.2
Dublin,Volkswagen Polo,5,DUB,easyCar,266,67,8.5
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",Bsp Auto,77,20,9.0
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",QEEQ.COM,81,21,8.5
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",Discover Cars,85,22,9.0
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",EconomyBookings,88,22,6.0
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",Rentalcars,94,24,7.8
Dublin,Ford Ka,4,"151 Lower Drumcondra Road, Dublin",Booking.com,94,24,7.8
