City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Dubai,Suzuki Swift,4,"Sheikh Zayed Road, Dubai",Avis,117.0,30.0,7.5
Dubai,Toyota Yaris,4,"Sheikh Zayed Road, Dubai",Avis,117.0,30.0,7.5
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Booking.com,117.0,30.0,8.2
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Rentalcars,117.0,30.0,8.2
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",KAYAK,117.0,30.0,8.2
Dubai,Nissan Sunny,5,"Sheikh Zayed Road, Dubai",Avis,130.0,33.0,7.5
Dubai,Chevrolet Spark,4,DXB,VIP Cars,142.0,36.0,9.5
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",VIP Cars,122.0,31.0,7.8
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Enjoy Travel,125.0,32.0,5.8
Dubai,Nissan Micra,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Wisecars,130.0,33.0,6.5
Dubai,Chevrolet Spark,5,Airport terminal,Opodo,154.0,39.0,9.8
Dubai,Chevrolet Spark,5,Airport terminal,Holiday Autos,408.0,102.0,9.8
Dubai,Chevrolet Spark,5,Airport terminal,easyCar,408.0,102.0,8.0
Dubai,Nissan Micra,4,DXB,Opodo,144.0,36.0,9.5
Dubai,Nissan Micra,4,DXB,Booking.com,144.0,36.0,6.8
Dubai,Nissan Micra,4,DXB,Holiday Autos,144.0,36.0,9.5
Dubai,Nissan Micra,4,DXB,easyCar,144.0,36.0,8.0
Dubai,Nissan Micra,4,DXB,KAYAK,144.0,36.0,6.8
Dubai,Nissan Micra,4,DXB,Argus Car Hire,144.0,36.0,9.5
Dubai,Nissan Micra,4,DXB,VIP Cars,151.0,38.0,9.5
Dubai,Nissan Micra,4,DXB,Discover Cars,165.0,42.0,8.2
Dubai,Chevrolet Spark,4,DXB,Opodo,156.0,39.0,9.8
Dubai,Chevrolet Spark,4,DXB,Rentalcars,180.0,45.0,8.2
Dubai,Chevrolet Spark,4,DXB,Booking.com,180.0,45.0,8.2
Dubai,Chevrolet Spark,4,DXB,KAYAK,180.0,45.0,8.2
Dubai,Chevrolet Spark,4,DXB,Holiday Autos,421.0,106.0,9.8
Dubai,Chevrolet Spark,4,DXB,easyCar,421.0,106.0,8.0
Dubai,Kia Picanto,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",VIP Cars,120.0,30.0,7.8
Dubai,Kia Picanto,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Enjoy Travel,122.0,31.0,5.8
Dubai,Kia Picanto,4,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Wisecars,127.0,32.0,6.5
Dubai,Ford Ka,5,Airport terminal,Opodo,152.0,38.0,9.5
Dubai,Ford Ka,5,Airport terminal,VIP Cars,152.0,38.0,9.5
Dubai,Ford Ka,5,Airport terminal,easyCar,152.0,38.0,8.0
Dubai,Ford Ka,5,Airport terminal,Discover Cars,153.0,39.0,9.5
Dubai,Ford Ka,5,Airport terminal,Wisecars,157.0,40.0,9.5
Dubai,Mitsubishi Mirage G4,4,Airport terminal,VIP Cars,144.0,36.0,9.5
Dubai,Chevrolet Aveo Sedan,5,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",VIP Cars,128.0,32.0,7.8
Dubai,Chevrolet Aveo Sedan,5,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Enjoy Travel,130.0,33.0,5.8
Dubai,Chevrolet Aveo Sedan,5,"Dubai Jumeirah Emirates Towers Sheikh Zayed Road, Dubai",Wisecars,135.0,34.0,6.5
Dubai,Nissan Micra,4,DXB,Discover Cars,195.0,49.0,9.5
Dubai,Nissan Micra,4,DXB,Argus Car Hire,281.0,71.0,9.8
Dubai,Nissan Micra,4,DXB,Opodo,301.0,76.0,9.8
Dubai,Nissan Micra,4,DXB,Holiday Autos,494.0,124.0,9.8
Dubai,Nissan Micra,4,DXB,easyCar,494.0,124.0,8.0
Dubai,Chevrolet Aveo Sedan,5,DXB,VIP Cars,158.0,40.0,9.5
Dubai,Kia Picanto,4,"Jumeirah Emirates Towers, Dubai",VIP Cars,144.0,36.0,9.5
