City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,41.0,11.0,9.8
Alicante,Ford Ka,4,Airport terminal,KAYAK,41.0,11.0,8.0
Alicante,Ford Ka,4,Airport terminal,Booking.com,42.0,11.0,8.0
Alicante,Ford Ka,4,Airport terminal,Opodo,68.0,17.0,9.2
Alicante,Ford Ka,4,Airport terminal,Argus Car Hire,94.0,24.0,9.2
Alicante,Ford Ka,4,Airport terminal,Holiday Autos,124.0,31.0,9.2
Alicante,Ford Ka,4,Airport terminal,easyCar,124.0,31.0,8.0
Alicante,Nissan Micra,5,Airport terminal,KAYAK,41.0,11.0,8.0
Alicante,Nissan Micra,5,Airport terminal,QEEQ.COM,42.0,11.0,9.8
Alicante,Nissan Micra,5,Airport terminal,Booking.com,43.0,11.0,8.0
Alicante,Nissan Micra,5,Airport terminal,Opodo,69.0,18.0,9.2
Alicante,Nissan Micra,5,Airport terminal,Argus Car Hire,95.0,24.0,9.2
Alicante,Nissan Micra,5,Airport terminal,Holiday Autos,126.0,32.0,9.2
Alicante,Nissan Micra,5,Airport terminal,easyCar,126.0,32.0,8.0
Alicante,Ford Focus,5,Airport terminal,QEEQ.COM,56.0,14.0,9.8
Alicante,Ford Focus,5,Airport terminal,Rentalcars,57.0,15.0,8.0
Alicante,Ford Focus,5,Airport terminal,KAYAK,57.0,15.0,8.0
Alicante,Ford Focus,5,Airport terminal,Booking.com,58.0,15.0,8.0
Alicante,Ford Focus,5,Airport terminal,Opodo,91.0,23.0,9.2
Alicante,Ford Focus,5,Airport terminal,Argus Car Hire,108.0,27.0,9.2
Alicante,Ford Focus,5,Airport terminal,Holiday Autos,166.0,42.0,9.2
Alicante,Ford Focus,5,Airport terminal,easyCar,166.0,42.0,8.0
Alicante,Nissan Juke,5,Airport terminal,QEEQ.COM,61.0,16.0,9.8
Alicante,Nissan Juke,5,Airport terminal,Rentalcars,62.0,16.0,8.0
Alicante,Nissan Juke,5,Airport terminal,KAYAK,62.0,16.0,8.0
Alicante,Nissan Juke,5,Airport terminal,Booking.com,64.0,16.0,8.0
Alicante,Nissan Juke,5,Airport terminal,Opodo,100.0,25.0,9.2
Alicante,Nissan Juke,5,Airport terminal,Argus Car Hire,113.0,29.0,9.2
Alicante,Nissan Juke,5,Airport terminal,Holiday Autos,181.0,46.0,9.2
Alicante,Nissan Juke,5,Airport terminal,easyCar,181.0,46.0,8.0
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,67.0,17.0,8.5
Alicante,Ford Ka,4,Airport terminal,Opodo,111.0,28.0,8.0
Alicante,Ford Ka,4,Airport terminal,Argus Car Hire,120.0,30.0,8.0
Alicante,Ford Ka,4,Airport terminal,Holiday Autos,199.0,50.0,8.0
Alicante,Ford Ka,4,Airport terminal,easyCar,199.0,50.0,6.8
Alicante,Ford Ka,4,Airport terminal,QEEQ.COM,66.0,17.0,8.5
Alicante,Ford Focus Wagon,5,Airport terminal,QEEQ.COM,64.0,16.0,9.8
Alicante,Ford Focus Wagon,5,Airport terminal,Rentalcars,66.0,17.0,8.0
Alicante,Ford Focus Wagon,5,Airport terminal,KAYAK,66.0,17.0,8.0
Alicante,Ford Focus Wagon,5,Airport terminal,Booking.com,68.0,17.0,8.0
Alicante,Ford Focus Wagon,5,Airport terminal,Opodo,107.0,27.0,9.2
Alicante,Ford Focus Wagon,5,Airport terminal,Argus Car Hire,116.0,29.0,9.2
Alicante,Ford Focus Wagon,5,Airport terminal,Holiday Autos,191.0,48.0,9.2
Alicante,Ford Focus Wagon,5,Airport terminal,easyCar,191.0,48.0,8.0
Alicante,Fiat 500,4,Airport terminal,VIP Cars,83.0,21.0,9.2
Alicante,Fiat 500,4,Airport terminal,Discover Cars,91.0,23.0,9.2
Alicante,Fiat 500,4,Airport terminal,Enjoy Travel,92.0,23.0,5.8
