City,Car Type,Number of Passengers,Location,Supplier,Total Price,Price,Offer Rating
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,144.0,36.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,163.0,41.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,163.0,41.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,163.0,41.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,157.0,40.0,9.5
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Discover Cars,158.0,40.0,9.0
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Wisecars,163.0,41.0,9.8
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,178.0,45.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,178.0,45.0,6.2
Amsterdam,Kia Picanto,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,178.0,45.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,152.0,38.0,9.8
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,152.0,38.0,9.0
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,157.0,40.0,9.8
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,172.0,43.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,172.0,43.0,6.2
Amsterdam,Kia Venga,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,172.0,43.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",VIP Cars,169.0,43.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Discover Cars,169.0,43.0,9.0
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Wisecars,175.0,44.0,9.8
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Rentalcars,191.0,48.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Booking.com,191.0,48.0,6.2
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",KAYAK,191.0,48.0,6.2
Amsterdam,Opel Corsa,4,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,182.0,46.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,184.0,46.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,184.0,46.0,9.0
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,190.0,48.0,9.8
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,207.0,52.0,6.2
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,207.0,52.0,6.2
Amsterdam,Peugeot 2008,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,207.0,52.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",VIP Cars,182.0,46.0,9.8
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Discover Cars,182.0,46.0,9.0
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Wisecars,189.0,48.0,9.8
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Rentalcars,206.0,52.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",Booking.com,206.0,52.0,6.2
Amsterdam,Mazda Mazda3,5,"Amsterdam Centraal Station, Amsterdam",KAYAK,206.0,52.0,6.2
Amsterdam,Fiat Panda,4,"Aaron Coplandstraat 6, Amsterdam",VIP Cars,198.0,50.0,9.5
Amsterdam,Economy car,4,"Amsterdam Centraal Station, Amsterdam",Opodo,181.0,46.0,9.0
Amsterdam,Kia Picanto,4,"Nassaukade 345-346, Amsterdam",Opodo,208.0,52.0,9.5
Amsterdam,Kia Picanto,4,"Nassaukade 345-346, Amsterdam",Enjoy Travel,208.0,52.0,4.0
Amsterdam,Kia Picanto,4,"Nassaukade 345-346, Amsterdam",Wisecars,209.0,53.0,9.5
